s,p,o
country:FRA,GDP (current US$),2937470000000.0
country:FIN,GDP (current US$),299155000000.0
country:FIN,GDP per capita (current LCU),45642.0
country:FJI,GDP per capita (current LCU),10531.0
country:FJI,GNI per capita (current LCU),9998.97
country:FIN,GNI per capita (current LCU),46414.9
country:GBR,Gross national expenditure (current US$),3217760000000.0
country:GAB,Gross national expenditure (current US$),12288500000.0
country:GBR,Industry (including construction) value added (% of GDP),17.7014
country:FSM,Industry (including construction) value added (% of GDP),4.85739
country:GAB,Industry (including construction) value added (% of GDP),47.8324
country:FSM,GDP (current US$),404178000.0
country:GAB,GDP (current US$),18269300000.0
country:FSM,GDP per capita (current LCU),3476.65
country:FRA,GDP per capita (current LCU),36794.7
country:GAB,GDP per capita (current LCU),4445670.0
country:FRA,GNI per capita (current LCU),37607.2
country:FSM,GNI per capita (current LCU),3828.46
country:GAB,GNI per capita (current LCU),4149520.0
country:GEO,Gross national expenditure (current US$),21606600000.0
